055-001,100,GENERAL COUNTY TAX,0.2540682415
,1001,FREE LIBRARY,0.0367454068
,30970,WOODSIDE ELEM GENRL PURPOSE,0.2062992126
,40890,SEQUOIA HIGH GENRL PURPOSE,0.1674540682
,60870,SM JR COLLEGE GEN PUR,0.0724409449
,71970,WOODSIDE FIRE DISTRICT,0.1853018373
,78560,MIDPENINSULA REG. OPEN SPACE,0.0194225722
,79020,BAY AREA AIR QUALITY MANAGEMENT,0.0020997375
,79450,COUNTY HARBOR DISTRICT,0.0036745407
,79890,SEQUOIA HOSPITAL DISTRICT,0.0152230971
,79994,COUNTY EDUCATION TAX,0.0372703412
055-002,100,GENERAL COUNTY TAX,0.2528461728
,1001,FREE LIBRARY,0.0368580120
,30970,WOODSIDE ELEM GENRL PURPOSE,0.2055433692
,40890,SEQUOIA HIGH GENRL PURPOSE,0.1666075804
,60870,SM JR COLLEGE GEN PUR,0.0723492559
,71970,WOODSIDE FIRE DISTRICT,0.1845038231
,75188,SAN FRANCISQUITO CRK FLD ZN 2,0.0024467648
,78560,MIDPENINSULA REG. OPEN SPACE,0.0195899038
,79020,BAY AREA AIR QUALITY MANAGEMENT,0.0022290553
,79450,COUNTY HARBOR DISTRICT,0.0037609142
,79890,SEQUOIA HOSPITAL DISTRICT,0.0156145688
,79994,COUNTY EDUCATION TAX,0.0376505797
055-003,100,GENERAL COUNTY TAX,0.2528463581
,1001,FREE LIBRARY,0.0368581881
,30970,WOODSIDE ELEM GENRL PURPOSE,0.2055433478
,40890,SEQUOIA HIGH GENRL PURPOSE,0.1666076927
,60870,SM JR COLLEGE GEN PUR,0.0723485783
,71970,WOODSIDE FIRE DISTRICT,0.1845040394
,75188,SAN FRANCISQUITO CRK FLD ZN 2,0.0024461776
,78560,MIDPENINSULA REG. OPEN SPACE,0.0195902355
,79020,BAY AREA AIR QUALITY MANAGEMENT,0.0022291140
,79450,COUNTY HARBOR DISTRICT,0.0037604530
,79890,SEQUOIA HOSPITAL DISTRICT,0.0156147012
,79994,COUNTY EDUCATION TAX,0.0376511143
055-004,100,GENERAL COUNTY TAX,0.2533599937
,1001,FREE LIBRARY,0.0369339885
,30970,WOODSIDE ELEM GENRL PURPOSE,0.2059569731
,40890,SEQUOIA HIGH GENRL PURPOSE,0.1669480415
,60870,SM JR COLLEGE GEN PUR,0.0724909693
,71970,WOODSIDE FIRE DISTRICT,0.1848774368
,78560,MIDPENINSULA REG. OPEN SPACE,0.0196270761
,79020,BAY AREA AIR QUALITY MANAGEMENT,0.0022258481
,79450,COUNTY HARBOR DISTRICT,0.0037631923
,79890,SEQUOIA HOSPITAL DISTRICT,0.0156375263
,79920,RESOURCE CONSERVATION DISTRICT,0.0004621464
,79994,COUNTY EDUCATION TAX,0.0377168079
055-006,100,GENERAL COUNTY TAX,0.2537384672
,1001,FREE LIBRARY,0.0369074132
,30970,WOODSIDE ELEM GENRL PURPOSE,0.2061724466
,40890,SEQUOIA HIGH GENRL PURPOSE,0.1670378619
,60870,SM JR COLLEGE GEN PUR,0.0725421571
,71970,WOODSIDE FIRE DISTRICT,0.1850143175
,78560,MIDPENINSULA REG. OPEN SPACE,0.0195672923
,79020,BAY AREA AIR QUALITY MANAGEMENT,0.0022271714
,79450,COUNTY HARBOR DISTRICT,0.0036589245
,79890,SEQUOIA HOSPITAL DISTRICT,0.0155902003
,79994,COUNTY EDUCATION TAX,0.0375437480
055-011,100,GENERAL COUNTY TAX,0.2527284987
,1001,FREE LIBRARY,0.0368404579
